COMID,Monitoring,lat,lon,AreaSqKM,wshd area,TotDASqKM,Source,GII,WT
2590277.0,USGS-01463500,40.22166667,-74.7780556,29.9709,6780.0,17573.6097,1,USGS-01463500,
2613340.0,USGS-01422738,42.25944444,-75.0419444,2.6199,0.61,2.6199,1,USGS-01422738,
3247480.0,USGS-01349840,42.28963889,-74.11627778,23.2218,2.03,23.2218,1,USGS-01349840,
4146586.0,USGS-01434021,42.0111111,-74.4144444,8.757,0.83,8.757,1,USGS-01434021,
4147950.0,USGS-0143400680,41.96694444,-74.4480556,29.9961,8.93,50.7456,1,USGS-0143400680,
4196160.0,USGS-01534000,41.55841008,-75.89464168,6.2226,383.0,1023.1983,1,USGS-01534000,
4529063.0,USGS-01658000,38.59613889,-77.05602778,0.0045,54.8,142.2189,1,USGS-01658000,
5891232.0,USGS-01614500,39.71638889,-77.8247778,3.6756,494.0,1300.2606,1,USGS-01614500,
5894384.0,USGS-01616500,39.42371047,-77.9386084,3.519,272.0,705.1383,1,USGS-01616500,
6199754.0,USGS-01364959,41.93694444,-74.3747222,30.4155,5.36,36.8109,1,USGS-01364959,
8420360.0,USGS-01608500,39.44703879,-78.6541817,15.9048,1461.0,3793.6683,1,USGS-01608500,
8431736.0,USGS-01611500,39.5823158,-78.3097312,1.4904,675.0,1749.267,1,USGS-01611500,
8445070.0,USGS-01636500,39.28204576000001,-77.7891606,0.8649,3041.0,7875.3888,1,USGS-01636500,
8476950.0,USGS-01668000,38.30846178,-77.52915268000001,0.5949,1595.0,4125.8628,1,USGS-01668000,
8494082.0,USGS-01674500,37.88388889,-77.16527778,0.8082,603.0,1560.7935,1,USGS-01674500,
8505740.0,USGS-01671020,37.85014024,-77.42775949,0.8271,462.0,1196.8155,1,USGS-01671020,
8506380.0,USGS-01673000,37.76764189,-77.3322018,7.9677,1078.0,2793.7836,1,USGS-01673000,
8575903.0,USGS-02035000,37.67097957,-78.0858328,6.4053,6252.0,16195.0401,1,USGS-02035000,
8608039.0,USGS-02041650,37.2251505,-77.475263,1.4796,1342.0,3475.6569,1,USGS-02041650,
9407484.0,USGS-01491000,38.99719444,-75.7858056,0.5157,113.0,300.6801,1,USGS-01491000,
11688352.0,USGS-01581752,39.49627778,-76.3474444,1.4661,2.5,7.578,1,USGS-01581752,
11688838.0,USGS-0158397967,39.4096111,-76.55725,8.6814,2.06,8.6814,1,USGS-0158397967,
11905730.0,USGS-01594000,39.13441667,-76.8161667,2.8224,98.4,255.6747,1,USGS-01594000,
11907296.0,USGS-01591000,39.23825,-77.0557222,1.9647,34.8,91.1052,1,USGS-01591000,
11907758.0,USGS-01594440,38.95591667,-76.6936944,2.5938,348.0,906.921,1,USGS-01594440,
11908364.0,USGS-01594526,38.8142222,-76.7487222,5.8626,89.7,238.6152,1,USGS-01594526,
14364734.0,USGS-01604500,39.44314946,-78.8219649,2.8656,221.0,567.0837,1,USGS-01604500,
22336379.0,USGS-01649190,39.0333611,-76.96402777999998,5.4333,13.1,33.9651,1,USGS-01649190,
22337781.0,USGS-01651800,38.90127778,-76.94327778,1.6785,3.36,9.738,1,USGS-01651800,
22337975.0,USGS-01649500,38.96025,-76.9259722,6.5385,72.8,194.3361,1,USGS-01649500,
22338427.0,USGS-01650800,38.9862222,-77.0048611,4.7169,6.45,19.1439,1,USGS-01650800,
22745373.0,USGS-01349150,42.87627778,-74.6028611,1.3671,59.70000000000001,154.575,1,USGS-01349150,
